Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C0402,2,15p,
"C10, C11, C12, C13, C14, C16, C6, C7, C8, C9",C0402,10,100n,
"C100, C101, C102, C103, C104, C105, C106, C107, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C25, C26, C27, C28, C29, C30, C40, C41, C42, C43, C44, C45, C55, C56, C57, C58, C59, C60, C70, C71, C72, C73, C74, C75, C84, C85, C86, C87, C88, C89, C90, C96, C97, C98, C99",C0402,53,0.1u,
"C15, C5",C0402,2,1u,
"C3, C4",C0402,2,10u,
"D1, D10, D100, D101, D102, D103, D104, D105, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",RB161QS-40,105,D,
"D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D200, D201, D202, D203, D204, D205, D206, D207, D208, D209, D210",SK6812MINI-E,105,SK6812MINI,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_14P,
J2,HDR-TH_2P-P2.54-V-M,1,Conn_01x02,
"R1, R6",0402,2,1k,
"R2, R3",0402,2,5.1k,
"R4, R5",0402,2,27.4,
"SW1, SW10, SW100, SW101, SW102, SW103, SW104, SW105, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW37, SW38, SW39, SW4, SW40, SW41, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW75, SW76, SW77, SW78, SW79, SW8, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW89, SW9, SW90, SW91, SW92, SW93, SW94, SW95, SW96, SW97, SW98",SW_Cherry_MX_1.00u_PCB,99,SW_Push_45deg,
"SW36, SW74, SW81",SW_Cherry_MX_2.00u_PCB,3,SW_Push_45deg,
"SW42, SW80",SW_Cherry_MX_2.00u_Vertical_PCB,2,SW_Push_45deg,
SW99,SW_Cherry_MX_6.25u_PCB,1,SW_Push_45deg,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,
